MSN,FSI,STN,GPe,GPi
0.23214314642163966,12.87719407863873,14.383181141485563,55.683462651046071,72.981491577025736
0.24630050527650754,11.139194333103465,14.882274414752318,55.617808364015637,75.322825891012101
0.26629662014462735,10.374762365772007,16.297545226966477,53.343282333455392,70.46663459261913
0.2344151290058511,12.682736253000815,14.313636932181074,64.047802483999035,59.571109636144541
0.21454655742594284,16.561810562428434,20.309538257103785,56.932402894788005,68.094478085821152
0.2371455916998936,9.1332821571224834,14.896018173543784,58.222982692050849,64.243703422857706
0.27078425152217428,6.6598573340938181,14.86724247110533,60.662945608266341,69.302591484738571
0.23603809525052583,16.657541729611605,16.227324230398718,57.639252551740057,65.858147471508516
0.28460985184223297,4.2051682067288692,14.427650052763786,53.405004717959038,58.598710557536116
0.27180122981092664,10.574793340371215,15.47011362591093,55.656354999433439,76.194305486798399
0.24455633100684376,12.024686218462927,14.849589218153357,60.793334984723934,62.853587746844255
0.2485073405202102,16.590530917078233,14.345748940183547,62.644146315874863,64.203397694624726
0.25928392040952392,17.296592484098493,17.797469150442492,67.94500172784214,74.929825212233268
0.28587255875253303,9.7197726386648071,19.622782050991827,66.738323638221104,74.429835431111641
0.23574821259065934,9.3214385573882748,14.988746912652111,56.177927300634124,61.870346582095053
